id;timestamp;charge;stationRef;vehicleRef
QYU5003410;2019/01/03 0:02:36;1,3;EG01;TE24LCO18661
WPS5352347;2019/01/03 1:40:17;2,8;GF00;IO09FGE68100
RDV6518451;2019/01/03 2:39:56;2,8;AO15;XE59BZM26378
WNH6218760;2019/01/03 3:04:13;2,8;KO01;QW79CHL42244
RRS9227725;2019/01/03 3:32:01;2,0;EG05;CM15YCB60994
LJZ4625728;2019/01/03 3:41:35;2,8;KO09;QW79CHL42244
VED8509398;2019/01/03 4:03:26;2,8;OO11;JF94VYA88954
IAQ7370002;2019/01/03 4:19:50;2,8;NE00;QP02SYE47964
KPT1084302;2019/01/03 6:06:34;2,5;KO01;IX01MVL33676
CSJ9595952;2019/01/03 6:24:18;1,5;KO05;IZ65WAT29135
AJB4007132;2019/01/03 6:51:02;2,8;AO18;MX39VOS38645
IFJ1584058;2019/01/03 6:59:57;2,8;MR07;EZ65FLV39493
IJN5312188;2019/01/03 8:35:09;1,0;KO03;FL13UMN92207
UZI9045597;2019/01/03 8:43:26;1,5;NE01;PM58XHX45588
DKI5609758;2019/01/03 9:23:10;2,5;GF00;CK97FAU13897
BJL0155721;2019/01/03 9:23:50;2,8;MR04;KF48RSD79865
YON4581505;2019/01/03 12:20:02;3,1;GF00;YX66XYW62640
JZP9177875;2019/01/03 14:02:19;2,0;AO04;YL27IFD65117
SSZ7103725;2019/01/03 14:43:40;2,8;MR00;HE38BQH01623
FPU0425557;2019/01/03 15:44:50;1,0;KO05;WY00MLL63827
MOS5853245;2019/01/03 16:51:44;2,5;KO05;IX01MVL33676
EWR2508893;2019/01/03 16:58:43;3,1;AO12;DP11ENT03275
FDO3407403;2019/01/03 17:39:51;2,8;KO08;QW79CHL42244
DLQ8625471;2019/01/03 19:31:14;2,8;GF00;MP14WFM40909
ZAG0725273;2019/01/03 19:34:31;2,8;EG07;EC02LZC49528
RJN3440849;2019/01/03 20:37:16;2,8;NE12;EG95RTB75032
BXR7588699;2019/01/03 21:13:38;2,8;OO05;EM54HQI58682
JZF0586381;2019/01/03 22:03:24;1,3;EG01;TE24LCO18661
AKJ5235405;2019/01/03 22:15:34;1,5;NE06;XV91YMP27722
YSK8555815;2019/01/03 22:56:55;2,8;EG09;TV81MAQ99005
VAS7777913;2019/01/03 23:10:55;2,2;KO05;QO77TFN61853
OSB6924402;2019/01/03 23:11:51;2,8;OO01;WY00MLL63827
IKP1014708;2019/01/03 23:28:32;2,8;AO02;PE73VJU23485
NDS8480885;2019/01/04 0:41:50;1,5;NE07;PD45WOT56494
IEP5322365;2019/01/04 0:46:18;2,0;AO05;YL27IFD65117
LZU2500999;2019/01/04 1:37:11;1,0;NE09;FY47TUN40300
FTO5959048;2019/01/04 2:32:19;2,8;NE07;NY14GZR94632
PEO8978228;2019/01/04 2:38:40;3,1;GF00;PF04UCA93312
IWZ6784211;2019/01/04 2:51:02;3,1;AO05;DV04FQL29609
DOT0840926;2019/01/04 3:48:37;2,8;OO04;RK48BOP88344
YIC2205567;2019/01/04 4:43:03;2,8;OO05;AT19HLV57173
JYG0256462;2019/01/04 6:18:08;1,0;AO17;OC94ASJ72024
FZS8692226;2019/01/04 8:01:00;1,0;KO05;ED51EWW52190
ZIK8298699;2019/01/04 8:11:02;2,5;OO06;UA13YTK28483
GBM5773955;2019/01/04 8:41:44;2,8;OO01;AT19HLV57173
PLP9237083;2019/01/04 8:43:30;2,8;OO05;RK48BOP88344
PSV9420885;2019/01/04 8:56:38;2,2;NE15;BI87HYL81972
OQE5431179;2019/01/04 9:27:53;2,5;KO06;KB55KTM48860
FRP9290882;2019/01/04 9:32:06;1,0;AO15;BZ76ROL87339
VIG3313800;2019/01/04 15:15:27;2,5;KO06;IX01MVL33676
BMV9911239;2019/01/04 15:27:30;2,5;GF00;BY85QGR11636
BWS1548433;2019/01/04 16:03:42;2,8;EG07;TV81MAQ99005
DPC4921911;2019/01/04 16:38:01;2,8;MR06;UA13YTK28483
FAD4262737;2019/01/04 16:52:02;3,1;AO08;DV04FQL29609
BOS5722123;2019/01/04 17:39:14;2,5;MR05;QO68DIC93032
BIP4596977;2019/01/04 17:45:30;2,8;MR00;HE38BQH01623
IZU3260044;2019/01/04 18:05:15;13,0;MR03;HR53SRO94328
IOI0658573;2019/01/04 19:07:07;2,0;OO02;PD45WOT56494
ELI0385232;2019/01/04 21:05:28;2,8;MR08;HE38BQH01623
SCB3162252;2019/01/04 21:05:48;2,5;OO05;VJ92OYV94295
XRB7777819;2019/01/04 21:25:53;1,5;KO08;AY38OQF67603
VNX6112928;2019/01/04 21:30:49;1,0;OO02;XV40HUQ04740
JBK7975831;2019/01/04 22:14:33;1,0;OO01;XV40HUQ04740
UZV6669660;2019/01/04 22:41:17;1,0;NE14;FY47TUN40300
AST1565987;2019/01/04 23:41:10;2,8;NE00;QU94IGC75528
EPU9167801;2019/01/05 2:09:42;2,8;MR05;QN23UHH39091
UME6300154;2019/01/05 3:12:00;2,5;NE14;OY94SZK34436
IZL8111210;2019/01/05 3:29:35;1,3;KO05;MQ65WJJ60020
TYT3955033;2019/01/05 3:58:41;2,8;AO08;VL67TFO75321
WHI1664349;2019/01/05 5:13:28;2,8;NE13;QP02SYE47964
XSE8654212;2019/01/05 6:11:45;2,5;NE15;JV67MTI17124
TXL5895242;2019/01/05 6:41:14;2,2;KO05;QO77TFN61853
LJC9157282;2019/01/05 8:15:30;2,2;KO03;JO50FSF60755
HJW5583166;2019/01/05 9:36:10;1,0;MR05;BI87HYL81972
OIV5602818;2019/01/05 10:01:17;2,8;MR02;UA13YTK28483
DKX6181104;2019/01/05 11:20:48;3,1;NE00;EM54HQI58682
TGM8606494;2019/01/05 11:22:22;2,8;EG07;IW53OQE31439
UIC7940896;2019/01/05 11:28:50;1,3;EG12;TE24LCO18661
PZP9995637;2019/01/05 18:12:40;2,8;MR08;KF48RSD79865
HOA0727154;2019/01/05 19:13:41;2,8;MR03;KF48RSD79865
KTK8951799;2019/01/05 20:21:34;3,1;GF00;PF04UCA93312
UWV9537409;2019/01/05 21:22:10;3,1;AO01;DP11ENT03275
GYR0258541;2019/01/05 22:43:37;2,8;AO13;RR73DWB65452
SDQ5556853;2019/01/05 23:45:13;2,8;NE03;QP02SYE47964
UDF1325536;2019/01/05 23:57:16;2,8;OO01;AY38OQF67603
NQV7199789;2019/01/06 0:22:14;2,0;EG10;CM15YCB60994
INA0533953;2019/01/06 0:50:10;1,5;NE05;VX68BAR38623
AZT9656066;2019/01/06 1:25:53;2,8;OO05;JF94VYA88954
IUO2143413;2019/01/06 2:49:58;1,3;MR07;RR98KQE80731
UXT7394943;2019/01/06 2:58:38;2,8;EG06;EC02LZC49528
LJW9984906;2019/01/06 3:17:37;2,8;GF00;MP14WFM40909
TPR4294291;2019/01/06 3:35:43;2,8;NE15;EG95RTB75032
ULN8974546;2019/01/06 3:48:41;2,8;AO12;HT62RDI04611
QZK4342840;2019/01/06 3:55:09;3,1;MR02;QH15HWX24570
XWI7097584;2019/01/06 5:33:26;3,1;GF00;YX66XYW62640
MXM6404031;2019/01/06 7:06:45;2,0;AO14;YL27IFD65117
YJU8743734;2019/01/06 7:31:26;2,8;EG12;EC02LZC49528
SUH5952969;2019/01/06 9:34:39;1,5;NE07;QR03XCJ37459
WOJ6728265;2019/01/06 11:37:28;1,3;MR05;RR98KQE80731
PAV5608102;2019/01/06 11:37:56;2,8;NE08;EG95RTB75032
CFO6913267;2019/01/06 11:39:08;1,3;OO08;LC72NRN52084
PAL2525981;2019/01/06 12:12:26;2,0;OO03;IC95TLY24827
RCF4544449;2019/01/06 12:43:46;1,0;KO00;WY00MLL63827
PVJ3943516;2019/01/06 12:54:19;2,8;AO15;XE59BZM26378
IRX8848859;2019/01/06 12:57:40;2,8;AO08;RR73DWB65452
MCD5475060;2019/01/06 13:13:49;1,3;KO08;MQ65WJJ60020
PFW8615887;2019/01/06 14:19:26;2,8;OO09;RK48BOP88344
ASW3119652;2019/01/06 15:33:04;2,8;MR06;UA13YTK28483
VQA8895237;2019/01/06 15:57:49;1,0;NE16;IA29IQS63679
NHL4953806;2019/01/06 16:44:56;1,5;OO13;LG64ARC91224
MAK0971449;2019/01/06 16:47:44;2,8;KO07;FY47TUN40300
JFR2402578;2019/01/06 17:25:32;2,5;GF00;SL09NOT64494
YYP0773445;2019/01/06 18:29:01;3,1;EG00;TZ48CCW54765
LIV9253695;2019/01/06 19:23:47;1,0;OO03;XV40HUQ04740
CCS6814108;2019/01/06 21:36:03;2,8;NE06;NY14GZR94632
KOC7962766;2019/01/06 23:08:16;2,5;GF00;MA30QLI76818
DOZ1453528;2019/01/06 23:08:29;2,5;GF00;BY85QGR11636
PFR7735501;2019/01/06 23:50:25;1,0;NE08;OY94SZK34436
RVF1714057;2019/01/06 23:54:56;2,5;GF00;BY85QGR11636
QJM2827051;2019/01/07 0:07:29;2,2;KO06;JO50FSF60755
HNU5135879;2019/01/07 0:26:29;2,8;MR07;UA13YTK28483
NUF0316968;2019/01/07 0:57:19;2,5;GF00;BY85QGR11636
MFM7697504;2019/01/07 1:12:40;1,0;OO09;YX66XYW62640
RRF5482950;2019/01/07 1:34:18;2,5;KO09;IX01MVL33676
RCS4635589;2019/01/07 1:35:42;2,8;MR07;HE38BQH01623
LZJ2868612;2019/01/07 2:19:22;2,8;NE12;QP02SYE47964
HPB9107400;2019/01/07 2:53:29;3,1;GF00;PF04UCA93312
KMK0226092;2019/01/07 3:36:28;2,0;OO07;JO50FSF60755
NRK5104296;2019/01/07 5:02:07;3,1;MR02;UF84JOS00561
RBK8060006;2019/01/07 5:27:05;2,0;AO05;YL27IFD65117
AUU6469015;2019/01/07 6:24:36;2,8;AO13;EM54HQI58682
IQN6203368;2019/01/07 8:48:25;2,2;EG06;SL09NOT64494
VXK5719170;2019/01/07 8:59:33;2,8;EG05;EC02LZC49528
QRR8447934;2019/01/07 9:03:09;2,5;MR00;QO68DIC93032
NXJ2283523;2019/01/07 10:21:32;1,0;NE02;FY47TUN40300
BPA2075644;2019/01/07 11:55:26;1,0;KO07;FL13UMN92207
GIQ5227984;2019/01/07 12:10:20;2,0;NE02;AT19HLV57173
QMM0347109;2019/01/07 12:11:43;2,5;OO12;BI87HYL81972
NBS8149331;2019/01/07 12:23:01;2,5;OO10;QX75YWC61835
WXO4856567;2019/01/07 14:15:16;1,3;EG10;EV77EDV52985
DSB0448624;2019/01/07 15:22:36;2,8;GF00;UF84JOS00561
REY3108814;2019/01/07 15:38:27;1,0;NE16;IA29IQS63679
LAO6168976;2019/01/07 15:53:34;1,0;OO05;DP11ENT03275
UQR3278904;2019/01/07 16:05:57;2,8;AO13;EV77EDV52985
DPZ9842551;2019/01/07 16:28:28;2,8;NE13;EG95RTB75032
HCX4122632;2019/01/07 18:13:54;2,8;AO04;PE73VJU23485
ARH1581655;2019/01/07 18:27:49;1,0;KO01;WY00MLL63827
HTD0281631;2019/01/07 19:53:52;2,8;AO08;RK48BOP88344
IWR8131559;2019/01/07 20:03:22;2,8;OO05;RK48BOP88344
XQT9913725;2019/01/07 21:39:27;13,0;AO12;LG64ARC91224
FDG4220162;2019/01/07 22:40:29;2,0;EG10;CM15YCB60994
SYA7107074;2019/01/07 23:04:34;1,5;EG07;CR31GMR97972
EGU0149427;2019/01/07 23:39:52;2,5;NE00;OY94SZK34436
OXK0045085;2019/01/07 23:40:16;2,5;KO03;KB55KTM48860
UTD5120164;2019/01/08 0:24:12;2,8;OO04;AT19HLV57173
UBP7692482;2019/01/08 1:47:32;3,1;OO07;TV81MAQ99005
YQF2255735;2019/01/08 1:55:18;2,8;GF00;QN12NTR81378
TBW5744223;2019/01/08 3:13:34;2,5;MR06;QO68DIC93032
OFS6376591;2019/01/08 3:18:10;2,5;EG02;RK48BOP88344
FAE2281094;2019/01/08 5:38:33;2,0;OO04;SY96JDQ97089
IIM9785176;2019/01/08 5:52:56;1,0;NE07;UP28MBM38391
PHE1025027;2019/01/08 6:22:31;2,8;MR07;KF48RSD79865
INQ8456777;2019/01/08 7:47:16;2,8;AO17;JD78PQD35395
DUR6384757;2019/01/08 8:11:22;13,0;AO01;BM25PHF40639
OZT5115958;2019/01/08 8:12:54;2,8;GF00;JE65QJK64802
LMA8654820;2019/01/08 9:59:33;2,8;AO04;EC02LZC49528
XTE9166677;2019/01/08 11:22:49;1,0;NE00;FY47TUN40300
PPU9152797;2019/01/08 13:04:24;2,8;AO13;FL13UMN92207
BRN7360799;2019/01/08 13:15:07;1,0;NE09;IA29IQS63679
OLV1623583;2019/01/08 14:08:09;3,1;OO03;LC72NRN52084
XVJ7652867;2019/01/08 14:18:20;2,8;GF00;CP56DAO45598
UVE2297410;2019/01/08 15:42:16;1,0;EG02;BI87HYL81972
LZP3584479;2019/01/08 15:52:45;1,5;NE13;QR03XCJ37459
COH4374136;2019/01/08 15:53:38;2,0;NE01;PD45WOT56494
EZI7123567;2019/01/08 16:14:53;2,2;MR04;LM86GYO69819
HSO9832566;2019/01/08 16:25:21;13,0;AO08;LG64ARC91224
GWX5926658;2019/01/08 17:14:28;3,1;GF00;PF04UCA93312
PGX6872041;2019/01/08 17:34:52;1,0;EG01;JD78PQD35395
EWR8013818;2019/01/08 17:52:10;1,3;NE08;ZY93PCY41868
AJJ7574694;2019/01/08 18:02:22;1,5;OO02;HE38BQH01623
BAM0767909;2019/01/08 18:49:30;13,0;AO09;BM25PHF40639
ZTV2947809;2019/01/08 18:51:10;3,1;AO05;DP11ENT03275
MDB4040741;2019/01/08 19:31:51;1,5;OO00;PD45WOT56494
CSG3318300;2019/01/08 21:22:02;2,0;MR03;IZ65WAT29135
NHM3675844;2019/01/08 21:30:18;3,1;NE05;QO68DIC93032
DPB6551839;2019/01/08 21:42:28;2,5;KO02;KB55KTM48860
YZI2644272;2019/01/08 22:06:59;1,0;KO06;WY00MLL63827
DZH0114567;2019/01/08 23:17:47;1,0;AO06;OC94ASJ72024
WJX5646477;2019/01/09 0:43:24;2,8;EG02;EC02LZC49528
GTQ0716183;2019/01/09 0:52:26;3,1;GF00;PF04UCA93312
DIM4006595;2019/01/09 1:58:48;2,0;OO02;IC95TLY24827
FMX7447301;2019/01/09 2:01:31;2,8;KO08;ED51EWW52190
CCT1120986;2019/01/09 2:12:31;2,8;KO09;ED51EWW52190
UBU3174102;2019/01/09 3:38:53;2,0;OO01;IC95TLY24827
PEJ6840364;2019/01/09 4:16:36;2,8;AO06;PE73VJU23485
POM1873220;2019/01/09 4:31:40;2,5;EG08;XE59BZM26378
UNO6659001;2019/01/09 5:10:53;3,1;GF00;PF04UCA93312
JIK3844618;2019/01/09 6:34:28;2,8;EG02;EC02LZC49528
KLN6484024;2019/01/09 7:14:35;2,2;KO01;QO77TFN61853
ZHC1977550;2019/01/09 7:37:06;3,1;GF00;PF04UCA93312
FKV7904848;2019/01/09 7:52:34;1,0;EG05;JD78PQD35395
NFI8367808;2019/01/09 7:57:48;2,5;KO00;IX01MVL33676
LFH0315629;2019/01/09 8:05:30;1,0;GF00;WU78BMX13511
XKS4664614;2019/01/09 8:19:43;1,5;NE07;VX68BAR38623
UMF7695471;2019/01/09 8:36:35;2,0;EG04;CM15YCB60994
SJT4290133;2019/01/09 8:45:50;2,8;KO05;QW79CHL42244
ZQV5105168;2019/01/09 9:47:21;2,5;GF00;MA30QLI76818
WIU6615713;2019/01/09 9:48:55;1,0;NE11;XF28DGK65250
FBN9889844;2019/01/09 9:59:05;2,2;KO08;QO77TFN61853
FBN6685344;2019/01/09 10:39:31;2,5;GF00;CK97FAU13897
DBF9508600;2019/01/09 11:20:17;2,0;NE07;WY00MLL63827
YYN5607187;2019/01/09 13:44:43;2,8;MR02;UA13YTK28483
KJW8914761;2019/01/09 13:49:54;2,8;MR07;EZ65FLV39493
HKH2373332;2019/01/09 15:03:43;2,8;OO06;AT19HLV57173
BYG4248451;2019/01/09 15:41:28;2,8;OO01;JF94VYA88954
FNP4393498;2019/01/09 20:59:48;2,5;MR06;EC02LZC49528
JKT6128724;2019/01/09 21:17:14;1,3;EG12;QU94IGC75528
EGL5422048;2019/01/09 22:18:58;2,0;OO13;IC95TLY24827
LRM3194355;2019/01/09 22:30:08;2,8;EG10;EC02LZC49528
ORT5368959;2019/01/09 22:42:40;2,5;OO13;YX66XYW62640
CZL7820317;2019/01/09 23:32:41;2,8;OO09;QR03XCJ37459
HZU4853745;2019/01/09 23:33:53;2,8;MR00;UA13YTK28483
CYJ1240238;2019/01/10 0:17:15;2,5;EG00;DW44ZOO26361
FOM5485924;2019/01/10 3:24:46;2,5;KO07;KB55KTM48860
FHO5663132;2019/01/10 4:51:38;2,8;OO01;AT19HLV57173
OMN5141808;2019/01/10 5:42:14;2,8;OO06;RK48BOP88344
YMO5978142;2019/01/10 6:12:59;2,8;MR08;KF48RSD79865
QJP5702056;2019/01/10 6:24:27;2,5;KO01;KB55KTM48860
TOH4508765;2019/01/10 6:28:39;2,8;AO19;CR31GMR97972
VNK5211146;2019/01/10 7:06:07;1,3;EG01;TE24LCO18661
RNX5573794;2019/01/10 9:47:06;2,8;AO08;QW79CHL42244
VXO5341372;2019/01/10 9:57:09;2,8;NE00;NY14GZR94632
RCB0419705;2019/01/10 10:50:39;2,8;AO02;BZ76ROL87339
XFL2376961;2019/01/10 11:31:26;2,8;NE03;RR73DWB65452
NDO5553932;2019/01/10 13:16:04;2,8;EG06;EC02LZC49528
XXG1012689;2019/01/10 14:13:17;2,5;KO04;KB55KTM48860
BUE8856354;2019/01/10 14:38:28;2,8;MR03;KF48RSD79865
HOM4753925;2019/01/10 15:28:38;2,8;KO01;ED51EWW52190
SEK9690966;2019/01/10 17:38:18;1,0;GF00;WU78BMX13511
PBQ8194472;2019/01/10 18:06:31;1,3;KO00;MQ65WJJ60020
RSL4446153;2019/01/10 18:22:06;2,8;OO01;AT19HLV57173
ZLJ6963762;2019/01/10 20:52:36;1,3;KO02;MQ65WJJ60020
RWG6921523;2019/01/10 20:58:41;13,0;AO10;LG64ARC91224
ODH4025527;2019/01/10 21:25:02;1,3;EG12;QU94IGC75528
LRO6012832;2019/01/10 22:33:34;1,5;MR07;MX39VOS38645
OWN2040268;2019/01/10 22:51:05;1,0;AO10;BZ76ROL87339
INB9199595;2019/01/11 0:02:00;1,5;NE03;PM58XHX45588
EVM7404972;2019/01/11 0:03:54;1,0;AO09;OC94ASJ72024
TVQ0671376;2019/01/11 0:55:21;2,5;KO05;IX01MVL33676
LFV5670084;2019/01/11 1:15:21;2,8;MR06;KF48RSD79865
RFX1371677;2019/01/11 1:41:17;1,0;OO03;WG11QVY31890
UTL3484031;2019/01/11 2:11:55;1,0;GF00;WU78BMX13511
NXL2041620;2019/01/11 2:30:48;2,5;MR03;QO68DIC93032
ZNJ1049151;2019/01/11 2:37:12;1,3;MR04;IZ65WAT29135
WOX8452591;2019/01/11 2:42:51;1,5;AO18;SY96JDQ97089
CDB3019504;2019/01/11 2:47:53;1,0;MR01;MX39VOS38645
KVZ2606955;2019/01/11 3:04:53;1,5;NE00;PM58XHX45588
GYR4605539;2019/01/11 3:33:55;1,3;EG01;QU94IGC75528
LQE3984015;2019/01/11 3:35:07;1,0;OO05;XV40HUQ04740
KHP0306935;2019/01/11 4:09:00;1,0;NE07;FY47TUN40300
PTS5311062;2019/01/11 5:36:28;2,8;OO06;RK48BOP88344
FUI7993951;2019/01/11 6:09:47;2,5;KO02;IX01MVL33676
FFQ7677778;2019/01/11 6:17:56;3,1;EG03;NZ35XLQ89678
OBK1343175;2019/01/11 6:21:27;2,8;NE12;EG95RTB75032
VPC7691320;2019/01/11 6:41:51;2,8;GF00;QN12NTR81378
KRB0046906;2019/01/11 7:00:35;2,8;MR08;KF48RSD79865
CFH4027363;2019/01/11 7:24:05;1,0;MR05;DV04FQL29609
KYL4062666;2019/01/11 7:40:57;1,0;NE01;UP28MBM38391
FRY5107918;2019/01/11 8:32:32;2,0;MR08;IZ65WAT29135
KHF6369943;2019/01/11 8:37:20;2,8;EG07;TV81MAQ99005
OHA0886547;2019/01/11 8:42:09;2,0;OO03;EE22TMX10817
FAN1603090;2019/01/11 9:10:58;2,8;GF00;CP56DAO45598
MAE2734230;2019/01/11 9:21:40;2,8;GF00;UF84JOS00561
VAP1319169;2019/01/11 9:44:08;2,5;KO08;IX01MVL33676
HEQ9650767;2019/01/11 11:18:39;2,8;OO06;QR03XCJ37459
JYK8853857;2019/01/11 12:54:29;2,8;AO13;VX68BAR38623
AYH1207558;2019/01/11 13:40:15;3,1;AO00;DV04FQL29609
CLW1884630;2019/01/11 13:58:33;3,1;GF00;PF04UCA93312
NBJ7274983;2019/01/11 14:22:01;2,8;AO10;YH66OKD41942
NAY5893770;2019/01/11 15:08:21;2,5;NE04;JV67MTI17124
MID9503142;2019/01/11 16:05:10;2,8;NE13;EG95RTB75032
CXP3169780;2019/01/11 16:34:02;2,5;GF00;BY85QGR11636
SGD5418817;2019/01/11 17:14:33;3,1;EG06;TZ48CCW54765
MBM8077350;2019/01/11 17:24:58;2,5;KO07;KB55KTM48860
GBN7975968;2019/01/11 18:16:21;2,5;KO09;IX01MVL33676
CLL1393211;2019/01/11 21:16:25;1,0;NE11;UP28MBM38391
VRE3149856;2019/01/11 21:59:28;3,1;AO03;DV04FQL29609
OXV6474062;2019/01/11 22:45:14;2,8;KO03;ED51EWW52190
ITM6027560;2019/01/11 23:07:04;2,8;MR07;EZ65FLV39493
SNL6848703;2019/01/11 23:25:57;2,5;GF00;BY85QGR11636
WIE3219672;2019/01/12 0:48:47;2,8;GF00;UF84JOS00561
CGW0740748;2019/01/12 1:03:24;2,5;OO02;QX75YWC61835
GLR4345977;2019/01/12 1:24:06;2,5;MR00;QO68DIC93032
JQH3889391;2019/01/12 2:25:57;2,0;EG09;CM15YCB60994
FMV8753724;2019/01/12 3:02:34;13,0;AO17;LG64ARC91224
NWU2289217;2019/01/12 4:55:20;13,0;AO05;BM25PHF40639
FIR0060155;2019/01/12 5:28:30;1,0;NE14;FY47TUN40300
OCP6514091;2019/01/12 5:57:25;2,8;AO05;MX39VOS38645
XHE9708059;2019/01/12 6:09:21;2,5;NE11;RR98KQE80731
CLZ6123482;2019/01/12 6:25:02;2,8;GF00;UF84JOS00561
IHM2533253;2019/01/12 7:18:00;1,0;NE14;EV77EDV52985
RIU8037058;2019/01/12 7:58:22;3,1;AO18;DP11ENT03275
QCE4981246;2019/01/12 8:15:34;2,8;AO09;YH66OKD41942
ZYJ1621645;2019/01/12 9:56:29;2,8;EG11;EC02LZC49528
RSH8433688;2019/01/12 10:45:47;2,8;AO17;QH15HWX24570
QPM5227076;2019/01/12 11:37:39;1,5;MR01;EZ65FLV39493
TNG2672810;2019/01/12 12:15:59;2,8;AO07;PD45WOT56494
CDJ9717964;2019/01/12 12:50:27;3,1;NE05;NO82BAX82566
LBD4902785;2019/01/12 13:13:15;3,1;GF00;PF04UCA93312
SQI6683172;2019/01/12 13:15:54;1,5;EG08;YL27IFD65117
PRS4213078;2019/01/12 15:42:25;2,0;EG09;CM15YCB60994
MCG7137175;2019/01/12 15:57:36;1,0;OO11;WG11QVY31890
WMA6030194;2019/01/12 16:06:55;2,5;OO09;VJ92OYV94295
UPB5659435;2019/01/12 16:21:39;2,8;OO00;RR98KQE80731
CKQ9279270;2019/01/12 16:24:44;1,0;MR06;BI87HYL81972
YGN1666843;2019/01/12 16:27:31;2,0;AO04;YL27IFD65117
OBA4954168;2019/01/12 17:04:02;1,0;MR00;YX66XYW62640
VOL1460364;2019/01/12 17:23:49;13,0;AO18;LG64ARC91224
JYB4760826;2019/01/12 17:54:27;3,1;OO00;AY38OQF67603
FFK0225004;2019/01/12 18:08:29;2,5;NE00;CM15YCB60994
